Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,27.304285714285715,66.28,88.66428571428571
2,27.225714285714286,56.47,89.80285714285715
3,25.834285714285716,33.76,88.61
4,25.96,12.86,87.45142857142856
5,26.828571428571426,15.9,87.78857142857143
6,27.02857142857143,15.32,86.14857142857143
7,27.15285714285714,3.8299999999999996,84.85571428571428
8,24.67142857142857,0.73,83.09714285714287
9,27.071428571428573,2.65,82.22285714285714
10,26.662857142857145,0.47000000000000003,80.64571428571428
11,26.497142857142855,0.0,77.78999999999999
12,26.990000000000002,0.0,76.00857142857141
13,26.907142857142855,0.0,69.50428571428571
14,27.914285714285715,0.0,73.34285714285714
15,28.755714285714287,0.0,64.4857142857143
16,29.564285714285713,0.0,62.972857142857144
