Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,33.27571428571429,0.0,51.01428571428571
2,34.87571428571429,0.0,47.98142857142857
3,34.29714285714285,10.83,51.60285714285715
4,31.335714285714285,40.54,68.78999999999999
5,29.897142857142857,64.33,79.24142857142859
6,30.354285714285712,29.380000000000003,76.16428571428571
7,29.622857142857146,55.730000000000004,80.34
8,29.16142857142857,39.37,81.24142857142859
9,28.90285714285714,21.25,81.24285714285715
10,28.06714285714286,111.45,86.97571428571429
11,27.431428571428572,44.97,87.14857142857143
12,27.788571428571426,41.080000000000005,85.59
13,27.214285714285715,139.64,89.01857142857143
14,26.93285714285714,137.18,91.40285714285714
15,27.349999999999998,83.06,90.55142857142857
16,27.37,42.75,89.43571428571428
