Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,26.768571428571427,105.97,92.14428571428572
2,27.15285714285714,46.14,88.62
3,27.509999999999998,35.58,87.41714285714286
4,27.31,66.05,87.73428571428572
5,27.375714285714285,94.16,88.63571428571427
6,26.995714285714286,51.16,88.85285714285715
7,26.898571428571426,74.78999999999999,89.62571428571428
8,26.93285714285714,74.58,88.08857142857143
9,27.662857142857145,23.709999999999997,85.85000000000001
10,27.327142857142857,10.46,85.92428571428572
11,26.545714285714286,3.63,84.91571428571429
12,26.087142857142858,21.97,87.17285714285715
13,26.054285714285715,32.33,89.11714285714285
14,24.944285714285716,2.55,84.86285714285714
15,24.75714285714286,17.99,83.82428571428571
16,24.952857142857145,0.31,82.39
